x
MTND2P28
MT-ATP8
RPL41
XIST
RPS18
RPS28
GAS5
HLA-B
RPL23AP42

RPS2P5
RPL36A
NPIPB5
C4A
NEAT1
MTATP6P1
SELENOP
MALAT1
TUG1
EEF1G
DIO3OS
NORAD
RPL17
TXNIP
MYO15B
MLLT6





