gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000251034	32.9711550746265	-2.35169482666302	0.103378179930374	-22.7484642140819	1.48613147156325e-114	1.41496208746064e-113
ENSG00000196126	13178.4321308407	3.51183071685656	0.154385089587983	22.7472142952975	1.52907672231978e-114	1.45526558311134e-113
ENSG00000198860	2001.62867366972	1.52958081369497	0.0672470932560585	22.7456792499677	1.58351673826384e-114	1.50647219145638e-113
ENSG00000138316	441.107656501075	3.97460239006591	0.174746181742436	22.7450027830892	1.60811752250312e-114	1.52926163917074e-113
ENSG00000167065	444.748982236813	1.90434616322715	0.0837347324246453	22.7426076143602	1.69832829732709e-114	1.61440047179478e-113
ENSG00000164976	1617.68165521618	2.99412843503998	0.131659097934066	22.7415232370757	1.74081412342698e-114	1.65412269777799e-113
ENSG00000182109	278.120548596267	-2.76316453855115	0.121517619554104	-22.7387974574411	1.85235344666773e-114	1.75940141450642e-113
ENSG00000134028	255.252068365724	5.58518820736322	0.245664619894608	22.7350125132357	2.01915823625773e-114	1.9170668755552e-113
ENSG00000124140	363.244132125042	3.68866710145256	0.162267454929648	22.7320204353474	2.16156451628058e-114	2.05145034793619e-113
ENSG00000262152	24.0559131988633	6.00042670665064	0.264153710385335	22.7156631564913	3.13694550416805e-114	2.97595082504789e-113
ENSG00000272752	2438.80403547357	-2.06054098328206	0.090718687696665	-22.7135228209194	3.29353110708054e-114	3.12324882196877e-113
ENSG00000156136	1592.5195711308	1.78932621304583	0.0787907072559077	22.7098635786349	3.57951873756717e-114	3.39309144062662e-113
ENSG00000169908	18303.8104512938	2.70104701874171	0.118949073548761	22.7075918975902	3.76939683600893e-114	3.57165056742118e-113
ENSG00000272638	145.29084227798	-2.55826526898261	0.112669393067986	-22.7059470129473	3.91312847888366e-114	3.70635877005945e-113
ENSG00000104312	1429.39870497724	2.03848718506788	0.0897862527072244	22.7037784026358	4.11101650174778e-114	3.89223349639687e-113
ENSG00000186451	51.5664396410885	3.47636548196861	0.153132175363873	22.7017311920769	4.30698218284769e-114	4.07614033204039e-113
ENSG00000061794	3957.08900006432	1.93678524690608	0.0853150154580982	22.7015752913661	4.32228204581528e-114	4.08898587945905e-113
ENSG00000229152	143.962859050328	-2.67520636099804	0.117866047873977	-22.6970057048013	4.79565559050181e-114	4.53499715365385e-113
ENSG00000085871	2457.84811384695	2.11383439388627	0.0931329925846096	22.6969448229197	4.80229980585657e-114	4.53946734941628e-113
ENSG00000143390	3130.74491699511	1.45527491113978	0.0641197265714598	22.696212054459	4.88299337095227e-114	4.61390263490737e-113
ENSG00000231752	92.5037514765955	3.56290326810511	0.156985740390665	22.6957127395054	4.93875253720358e-114	4.66472761581346e-113
ENSG00000104936	2516.64555548738	-2.18853435896406	0.0964411854720898	-22.6929433545528	5.2597508966217e-114	4.96593466830563e-113
ENSG00000276116	147.076865949808	3.36179030366286	0.148159288924033	22.6903782278989	5.57561853580602e-114	5.2620594383958e-113
ENSG00000214248	51.068701617244	3.4551468496944	0.15227646348351	22.6899598969775	5.62889765384402e-114	5.31022579862042e-113
ENSG00000272626	36.2442484296349	6.4243923571708	0.283157106704725	22.6884376378027	5.82709912306653e-114	5.49501713003156e-113
ENSG00000086159	126.669590512849	5.41304269768355	0.238584738177989	22.6881347860789	5.86735409976455e-114	5.53077538727408e-113
ENSG00000184924	2177.30892073237	2.37103915086058	0.104516523441246	22.685782810155	6.18957382475211e-114	5.83218935918444e-113
ENSG00000185278	927.003216073977	-1.55694976905405	0.0686316603949127	-22.6855908788338	6.21663495962138e-114	5.85535796375794e-113
ENSG00000170456	1137.7693125052	-2.39289005545468	0.1054859364149	-22.6844462568253	6.3804893277385e-114	6.00730046884771e-113
ENSG00000185839	54.2028493927158	2.64628887464006	0.116658749685239	22.6840154020175	6.44327738857823e-114	6.06400497949697e-113
ENSG00000277449	129.627978043917	-2.73413192515364	0.12055202279993	-22.6800999406808	7.04289988524702e-114	6.62569830682416e-113
ENSG00000006534	2270.63969867867	2.68843837732628	0.118583237842873	22.6713186975765	8.59797472500823e-114	8.08544255414893e-113
ENSG00000129255	2306.96870742787	1.56316673706248	0.0689504561741317	22.6708686758325	8.68631620190643e-114	8.16527516256222e-113
ENSG00000165886	1771.34752045753	1.95868469603862	0.0864001876141289	22.669912532902	8.87703037710873e-114	8.34123818649038e-113
ENSG00000153898	165.415987967113	2.85676702618186	0.126025069306706	22.6682440398376	9.21989456863363e-114	8.65997157836873e-113
ENSG00000232671	53.8657349031502	2.96743593684712	0.130908900734691	22.6679463366751	9.28244561857921e-114	8.71526684386745e-113
ENSG00000276170	139.058937608238	4.31973936597443	0.190579132732095	22.6663816969241	9.61822518087994e-114	9.02695022029553e-113
ENSG00000147381	483.792499706081	11.0593881578018	0.488104235550978	22.6578409943889	1.16765846522165e-113	1.09544313779649e-112
ENSG00000188038	25.0773420182591	-2.87032611333949	0.12668626687532	-22.6569634115461	1.19115421121528e-113	1.11704319078679e-112
ENSG00000185619	3904.9392372264	-1.63632585091326	0.0722343763289495	-22.6530072532441	1.30307052685123e-113	1.22151254969558e-112
ENSG00000117592	19543.7815350019	1.32045949556403	0.0583260083269452	22.6392913460188	1.77880044273539e-113	1.66680711054734e-112
ENSG00000182253	748.455736373268	-3.25669567697865	0.143854774211218	-22.6387736857237	1.79981041483545e-113	1.68582716823135e-112
ENSG00000172935	867.345421188559	-2.87046789937062	0.126812632371042	-22.6355044107269	1.93834056773074e-113	1.81486620416355e-112
ENSG00000185515	1319.37936869372	1.60395530303118	0.0708686543995796	22.6327890182248	2.06145558276347e-113	1.92937576064254e-112
ENSG00000100099	1857.05922090957	-1.42746544733988	0.0630854063307469	-22.6275065877504	2.32376108631074e-113	2.17401575514627e-112
ENSG00000095574	1175.89602184329	-1.26489138805328	0.0559020699314787	-22.6269150606357	2.35513412891096e-113	2.20249688145666e-112
ENSG00000203280	50.1842404533745	5.74992809910299	0.254131260162351	22.6258198044179	2.41434389069432e-113	2.25697785186541e-112
ENSG00000124155	12821.108865446	1.59803523730585	0.0706475875530068	22.6198132541589	2.76648381985437e-113	2.58514484492232e-112
ENSG00000155970	306.258625882201	-2.83609105773152	0.125389207948734	-22.6183026763442	2.86283246396398e-113	2.67412267906127e-112
ENSG00000169992	4287.19073681147	-2.10572777521889	0.0931023728314122	-22.6173373586503	2.9261495232474e-113	2.73218827133183e-112
ENSG00000143125	1735.98722370352	-6.7246797798159	0.297345375612332	-22.6157200728868	3.03537818574968e-113	2.83305952149652e-112
ENSG00000278989	78.1706069700893	-2.89694099013685	0.12810392438105	-22.6139909775113	3.15666291260854e-113	2.94509933442308e-112
ENSG00000170860	3718.07711083409	1.68188044690088	0.0743742419721785	22.6137490924617	3.1740108523583e-113	2.96011827384766e-112
ENSG00000128965	494.908739777372	3.25947113288561	0.144148314444567	22.611926788357	3.30780154733711e-113	3.08367845824392e-112
ENSG00000174370	208.515147640044	2.20075215638422	0.0973273082981092	22.6118670583534	3.31228082672658e-113	3.08663902778664e-112
ENSG00000279690	22.3587284314604	-5.78602048418552	0.255901743352412	-22.6103206972583	3.43037664446163e-113	3.19543228025991e-112
ENSG00000134333	48259.3262660904	2.2360267828672	0.098899227019093	22.6091431678786	3.52311508820687e-113	3.28052859511013e-112
ENSG00000174950	125.134104534821	4.77819891358506	0.211369363510171	22.605919960369	3.78996336103252e-113	3.52761566139501e-112
