gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Type
ENSG00000075292	3712.08274497668	-0.858939916940397	0.0620891712952499	-13.8339729621437	1.58991035448617e-43	3.13102854989005e-43	NotSignificant
ENSG00000124302	97.2654380419351	-3.4600864078839	0.250116282288568	-13.8339110761764	1.59127914834478e-43	3.13346353044956e-43	Downregulated
ENSG00000272869	193.208963386585	-1.25579796001864	0.0907878824731079	-13.832219959427	1.62914041600638e-43	3.20775119828831e-43	Downregulated
ENSG00000156206	102.159853054194	-2.75570723153453	0.199285096740299	-13.8279644419455	1.72842620462172e-43	3.40296034748796e-43	Downregulated
ENSG00000136699	6116.57834137667	0.814710075406028	0.0589307784086178	13.8248653319483	1.80449852014558e-43	3.55243768361549e-43	NotSignificant
ENSG00000113356	225.707411118041	-1.28734826718912	0.0931249958972398	-13.8238746191158	1.82951268475273e-43	3.60138256399202e-43	Downregulated
ENSG00000198933	1073.00689217105	-1.23152253051199	0.0890904007565039	-13.8232909500307	1.84441071120784e-43	3.63040741734751e-43	Downregulated
ENSG00000184384	2459.49842697599	1.23023286265091	0.0890053037720511	13.8220174586632	1.87733656240688e-43	3.694909189696e-43	Upregulated
ENSG00000183479	158.535481444936	-1.7140255595191	0.124023163072585	-13.8202051701903	1.92520350172428e-43	3.78880433155994e-43	Downregulated
ENSG00000186187	2397.32350762518	0.882223427876617	0.0638373442761384	13.8198641857722	1.93434451114055e-43	3.80647749350097e-43	NotSignificant
ENSG00000129467	515.739595071939	-1.84165854981003	0.133262397130985	-13.8197915500487	1.93629727966062e-43	3.8100035968991e-43	Downregulated
ENSG00000228696	258.266806505601	-1.27011187095831	0.0919245903493091	-13.8168891058632	2.01595371376906e-43	3.96641196413275e-43	Downregulated
ENSG00000183979	109.494434688323	-2.59967865530661	0.188175878014222	-13.8151535825975	2.0651332470365e-43	4.06283567269669e-43	Downregulated
ENSG00000149380	166.061806158257	-1.87094714366905	0.135436772321929	-13.8141740355556	2.09341571598225e-43	4.11813497871095e-43	Downregulated
ENSG00000162552	549.875160065508	-2.27570962272006	0.164747575464385	-13.813311766837	2.11863070797656e-43	4.16739130538104e-43	Downregulated
ENSG00000212402	82.9495495391027	-3.58826091154099	0.259770519338205	-13.8131952797511	2.12206018041449e-43	4.17379043209857e-43	Downregulated
ENSG00000166450	222.88071634944	-2.3414595414059	0.169510297031399	-13.8130814611939	2.12541642352036e-43	4.18004447612448e-43	Downregulated
ENSG00000268362	210.088750559729	-1.38176765037867	0.100036462621852	-13.8126400530763	2.13848254383008e-43	4.20539225607113e-43	Downregulated
ENSG00000176845	2071.1492943185	1.19778413809948	0.0867322909930075	13.8101291270635	2.21434310705442e-43	4.35421279122584e-43	Upregulated
ENSG00000100568	3524.52260977806	0.757995054342613	0.0548908570682506	13.8091313349349	2.24522659421122e-43	4.41457448512227e-43	NotSignificant
ENSG00000205334	141.899934949481	-1.91933964707493	0.138992013487386	-13.8089923220597	2.24956316885839e-43	4.42273383223164e-43	Downregulated
