ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	core_enrichment
ATF2_UP.V1_DN	ATF2_UP.V1_DN	168	-0.2890153447091778	-1.1683416385760648	0.15325077399380804	0.22388980263157893	10351/55790/5737/28231/10129/23015/4621/150094/22998/2121/2254/55022/5350/6943/4299/10085/90865/9903/283131/9915/10687/79987/2202/6038/4982/1012/5743/6424/2252/353511/8714/8527/9013/5980/56521/3759/26499/2353/8553/1545/6387/57212/5934/8863/9936/12/9627/136/80760/5091/9317/9659/9738/11067
GLI1_UP.V1_UP	GLI1_UP.V1_UP	23	-0.4595100476951465	-1.300446862557331	0.15263157894736842	0.22388980263157893	5745/7704/89927/3489/373
CTIP_DN.V1_DN	CTIP_DN.V1_DN	98	-0.3229973507875483	-1.2026912058163817	0.15483870967741936	0.22445611402850713	1014/6519/29842/8786/51050/26049/273/2330/5600/23136/83714/4129/5923/320/66002/26140/6376/84448/25890/7225/54413/7102/79789/25786/22997
PDGF_UP.V1_UP	PDGF_UP.V1_UP	138	-0.2946939417721337	-1.160896999899689	0.16124031007751938	0.23045538299552515	9920/8941/3306/5209/65009/23237/22899/10472/150094/3777/467/2791/6526/4660/85458/8567/1960/57515/1026/1847/26027/5274/2114/1958
PRC2_SUZ12_UP.V1_DN	PRC2_SUZ12_UP.V1_DN	134	-0.2966258136692115	-1.1597172564344571	0.1614420062695925	0.23045538299552515	9920/4137/3373/9099/5071/108/10900/29970/1124/25802/64129/9079/3206/9498/489/2053/8557/27019/286/863/94/4139/91355/1821/58189/6196/9914/5800/9057/8736/257218/28999/27237/22871/6363/5317
PRC2_SUZ12_UP.V1_UP	PRC2_SUZ12_UP.V1_UP	150	-0.2891810431902461	-1.155442467875278	0.1669195751138088	0.23646939807789583	3772/2905/3866/4634/26034/28231/54039/23492/6710/79957/64849/3673/79661/146691/54893/9625/81617/51751/79772/2254/57573/220/8497/4661/66002/27344/2982/3931/6041/26040/770/2687/1839/631/7225/9023/81602/56521/26499/26297/8854/6447/51626/23251
KRAS.DF.V1_DN	KRAS.DF.V1_DN	155	0.26530585456868605	1.1184001124343568	0.17714285714285713	0.2490655209452202	3359/29113/11202/25818/27074/3604/7475/3485/8345/83481/2201/4059/3936/9455/9076/399664/914/8828/5979/86/65999/51012/9734/57128/8187/11005/196/4091/240/54955/6874/55076/1525/2178/80352/27128/5652/8175/54587/79845/1857
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN	169	-0.28307367043290677	-1.1459870085218344	0.18	0.25119402985074624	1014/1308/5345/1805/9630/6252/4023/65009/57338/10888/137872/1124/8842/10814/5507/57452/3777/23328/1101/2791/9196/8613/91851/2202/11201/6304/6450/8824/2100/64968/4811/26499/3090/6470/23270/5317
CAMP_UP.V1_UP	CAMP_UP.V1_UP	195	0.2536774646318971	1.1077544038643419	0.18181818181818182	0.2518518518518518	1381/8519/6142/4085/10797/1535/10410/4830/972/4609/6352/60674/3127/6184/4116/79711/27350/3608/5036/11316/1890/7045/122769/29088/10036/4191/115098/5557/8607/2119/6732/55168/5479/226/4711/5359/3987/517/1293/5366/10456/6747/3276/3148/22818/2923/79101/7818/375/51582/95681/195828/5018/26574/5034/1054/1351/8818/7980/10616/1798/10475/10193
CORDENONSI_YAP_CONSERVED_SIGNATURE	CORDENONSI_YAP_CONSERVED_SIGNATURE	56	0.32741883885124357	1.194269907359518	0.1865671641791045	0.25652985074626866	991/332/3161/1063/7153/1894/7083/3689/1031/8836/2013/6624/3925/7139
